Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
Lisinopril Tablet 20 mg (LISINOTA4 | Lisinopril Tablet 20 mg),LISINOTA4,Lisinopril Tablet 20 mg,4,Pharmacy,,Tablet,20 mg,0.0,,0.0,0.9,,01-03-2025,yes,True
Losartan Tablet 25 mg (LOSARTTA1 | Losartan Tablet 25 mg),LOSARTTA1,Losartan Tablet 25 mg,4,Pharmacy,,Tablet,25 mg,0.0,,0.0,1.32,,01-03-2025,yes,True
Losartan Tablet 100 mg (LOSARTTA3 | Losartan Tablet 100 mg),LOSARTTA3,Losartan Tablet 100 mg,4,Pharmacy,,Tablet,100 mg,0.0,,0.0,0.54,,01-03-2025,yes,True
Magnesium Trisilicate Mixture (MAGTRIMI1 | Magnesium Trisilicate Mixture),MAGTRIMI1,Magnesium Trisilicate Mixture,4,Pharmacy,,Mixture,,0.0,,0.0,7.7,,01-03-2025,yes,True
Magnesium Trisilicate Tablet 500 mg (MAGTRITA1 | Magnesium Trisilicate Tablet 500 mg),MAGTRITA1,Magnesium Trisilicate Tablet 500 mg,4,Pharmacy,,Tablet,500 mg,0.0,,0.0,3.58,,01-03-2025,yes,True
Magnesium Trisilicate + Aluminium Hydroxide Tablet (MATRALTA1 | Magnesium Trisilicate + Aluminium Hydroxide Tablet),MATRALTA1,Magnesium Trisilicate + Aluminium Hydroxide Tablet,4,Pharmacy,,Tablet,,0.0,,0.0,0.22,,01-03-2025,yes,True
Metronidazole Suppository 500 mg (METRONRE1 | Metronidazole Suppository 500 mg),METRONRE1,Metronidazole Suppository 500 mg,4,Pharmacy,,Suppository,500 mg,0.0,,0.0,15.95,,01-03-2025,yes,True
Metronidazole Suspension 100 mg/5 mL (as benzoate) (METRONSU1 | Metronidazole Suspension 100 mg/5 mL (as benzoate)),METRONSU1,Metronidazole Suspension 100 mg/5 mL (as benzoate),4,Pharmacy,,Suspension,100 mg/5 mL,0.0,,0.0,10.92,,01-03-2025,yes,True
Morphine Injection 10 mg/mL (Preservative Free) (MORPHIIN2 | Morphine Injection 10 mg/mL (Preservative Free)),MORPHIIN2,Morphine Injection 10 mg/mL (Preservative Free),4,Pharmacy,,Injection,10 mg,0.0,,0.0,39.55,,01-03-2025,yes,True
Nifedipine Capsule 10 mg (NIFEDICA1 | Nifedipine Capsule 10 mg),NIFEDICA1,Nifedipine Capsule 10 mg,4,Pharmacy,,Capsule,10 mg,0.0,,0.0,1.21,,01-03-2025,yes,True
Nifedipine Tablet 10 mg (slow release) (NIFEDITA1 | Nifedipine Tablet 10 mg (slow release)),NIFEDITA1,Nifedipine Tablet 10 mg (slow release),4,Pharmacy,,Tablet,10 mg,0.0,,0.0,1.1,,01-03-2025,yes,True
Olanzapine Tablet 10 mg (OLANZATA1 | Olanzapine Tablet 10 mg),OLANZATA1,Olanzapine Tablet 10 mg,4,Pharmacy,,Tablet,10 mg,0.0,,0.0,1.63,,01-03-2025,yes,True
Paracetamol Suppository 500 mg (PARACERE3 | Paracetamol Suppository 500 mg),PARACERE3,Paracetamol Suppository 500 mg,4,Pharmacy,,Suppository,500 mg,0.0,,0.0,2.41,,01-03-2025,yes,True
Phenobarbital Elixir 15 mg/5 mL (PHENOBEL1 | Phenobarbital Elixir 15 mg/5 mL),PHENOBEL1,Phenobarbital Elixir 15 mg/5 mL,4,Pharmacy,,Elixir,15 mg/5 mL,0.0,,0.0,60.5,,01-03-2025,yes,True
Povidone Iodine Ointment 10% (POVIDOOI1 | Povidone Iodine Ointment 10%),POVIDOOI1,Povidone Iodine Ointment 10%,4,Pharmacy,,Ointment,10%,0.0,,0.0,28.88,,01-03-2025,yes,True
Prednisolone 5mg Dispersible Tablets (PREDNIDT1 | Prednisolone 5mg Dispersible Tablets),PREDNIDT1,Prednisolone 5mg Dispersible Tablets,4,Pharmacy,,Tablet,5mg,0.0,,0.0,0.28,,01-03-2025,yes,True
Prednisolone Oral Solution 5mg/5ml (PREDNISY1 | Prednisolone Oral Solution 5mg/5ml),PREDNISY1,Prednisolone Oral Solution 5mg/5ml,4,Pharmacy,,Solution,5mg/5ml,0.0,,0.0,62.7,,01-03-2025,yes,True
Salbutamol Nebules 5 mg (SALBUTGA3 | Salbutamol Nebules 5 mg),SALBUTGA3,Salbutamol Nebules 5 mg,4,Pharmacy,,Nebules,5 mg,0.0,,0.0,17.6,,01-03-2025,yes,True
Salbutamol Sulphate Injection 500 microgram/mL in 1mL (SALSULIN1 | Salbutamol Sulphate Injection 500 microgram/mL in 1mL),SALSULIN1,Salbutamol Sulphate Injection 500 microgram/mL in 1mL,4,Pharmacy,,Injection,500 microgram,0.0,,0.0,16.5,,01-03-2025,yes,True
Sodium Chloride Infusion 0.45% (250 mL) (SODCHLIN1 | Sodium Chloride Infusion 0.45% (250 mL)),SODCHLIN1,Sodium Chloride Infusion 0.45% (250 mL),4,Pharmacy,,Infusion,0.45%,0.0,,0.0,48.38,,01-03-2025,yes,True
Spironolactone Tablet 50 mg (SPIRONTA2 | Spironolactone Tablet 50 mg),SPIRONTA2,Spironolactone Tablet 50 mg,4,Pharmacy,,Tablet,50 mg,0.0,,0.0,1.45,,01-03-2025,yes,True
Tamsulosin Capsule 400 microgram (TAMSULCA1 | Tamsulosin Capsule 400 microgram),TAMSULCA1,Tamsulosin Capsule 400 microgram,4,Pharmacy,,Capsule,400 microgram,0.0,,0.0,2.18,,01-03-2025,yes,True
