Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
IRON SUCROSE  (20mg/ml in 5ml) (M000572 | IRON SUCROSE ),M000572,IRON SUCROSE  (20mg/ml in 5ml) (M000572 | IRON SUCROSE ),4,Pharmacy,570,Injection,20mg/ml in 5ml,42,,0,,,,no,TRUE
ISOFLURANE   (M000573 | ISOFLURANE  ),M000573,ISOFLURANE   (M000573 | ISOFLURANE  ),4,Pharmacy,571,Inhaler,250ml,1200,,0,,,,no,TRUE
ISOLATION GOWN (NA | NA) (1235 | ISOLATION GOWN (NA | NA)),1235,ISOLATION GOWN (NA | NA),9,Non-Drug Consumables,1235,,,0,,0,,,,no,TRUE
Isophane Insulin (HM) (ISOINSIN1 | Isophane Insulin (HM)) (321 | Isophane Insulin (HM) (ISOINSIN1 | Isophane Insulin (HM))),321,Isophane Insulin (HM) (ISOINSIN1 | Isophane Insulin (HM)),4,Pharmacy,321,Injection,100 units/mL in 10 mL,0,,0,100.1,,1/3/2025,yes,TRUE
Isosorbide Dinitrate  (ISODINTA1 | Isosorbide Dinitrate ),ISODINTA1,Isosorbide Dinitrate  (ISODINTA1 | Isosorbide Dinitrate ),4,Pharmacy,322,Tablet,10 mg,0,,0,1.97,,1/3/2025,yes,TRUE
Isulin Soluble (NA | NA) (1357 | Isulin Soluble (NA | NA)),1357,Isulin Soluble (NA | NA),4,Pharmacy,1357,0,,0,,0,,,,no,TRUE
Itraconazole  (10 mg/mL) (ITRACOSU1 | Itraconazole ),ITRACOSU1,Itraconazole  (10 mg/mL) (ITRACOSU1 | Itraconazole ),4,Pharmacy,324,Suspension,10 mg/mL,0,,0,31.2,,1/2/2023,yes,TRUE
Itraconazole  (ITRACOCA1 | Itraconazole ),ITRACOCA1,Itraconazole  (ITRACOCA1 | Itraconazole ),4,Pharmacy,323,Capsule,100 mg,0,,0,6.24,,1/2/2023,yes,TRUE
IV CANNULA 24 (NA | NA) (1297 | IV CANNULA 24 (NA | NA)),1297,IV CANNULA 24 (NA | NA),9,Non-Drug Consumables,1297,,,0,,0,,,,no,TRUE
IV CANNULLAR 20 (NA | NA) (1298 | IV CANNULLAR 20 (NA | NA)),1298,IV CANNULLAR 20 (NA | NA),9,Non-Drug Consumables,1298,,,0,,0,,,,no,TRUE
IV CANNULLAR SIZE 16G (NA | IV CANNULLAR SIZE 16G) (782 | IV CANNULLAR SIZE 16G (NA | IV CANNULLAR SIZE 16G)),782,IV CANNULLAR SIZE 16G (NA | IV CANNULLAR SIZE 16G),9,Non-Drug Consumables,782,,,0,,0,,,,no,TRUE
IV CANNULLAR SIZE 18G (NA | IV CANNULLAR SIZE 18G) (783 | IV CANNULLAR SIZE 18G (NA | IV CANNULLAR SIZE 18G)),783,IV CANNULLAR SIZE 18G (NA | IV CANNULLAR SIZE 18G),9,Non-Drug Consumables,783,,,0,,0,,,,no,TRUE
IV CANNULLAR SIZE 20G (NA | IV CANNULLAR SIZE 20G) (784 | IV CANNULLAR SIZE 20G (NA | IV CANNULLAR SIZE 20G)),784,IV CANNULLAR SIZE 20G (NA | IV CANNULLAR SIZE 20G),9,Non-Drug Consumables,784,,,0,,0,,,,no,TRUE
IV CANNULLAR SIZE 26 (NA | NA) (1269 | IV CANNULLAR SIZE 26 (NA | NA)),1269,IV CANNULLAR SIZE 26 (NA | NA),9,Non-Drug Consumables,1269,,,0,,0,,,,no,TRUE
IV CANULLAR SIZE 22G (NA | IV CANULLAR SIZE 22G) (785 | IV CANULLAR SIZE 22G (NA | IV CANULLAR SIZE 22G)),785,IV CANULLAR SIZE 22G (NA | IV CANULLAR SIZE 22G),9,Non-Drug Consumables,785,,,0,,0,,,,no,TRUE
IV CANULLAR SIZE 24G (NA | IV CANULLAR SIZE 24G) (786 | IV CANULLAR SIZE 24G (NA | IV CANULLAR SIZE 24G)),786,IV CANULLAR SIZE 24G (NA | IV CANULLAR SIZE 24G),9,Non-Drug Consumables,786,,,0,,0,,,,no,TRUE
KERATOME BLADES (NA | KERATOME BLADES) (787 | KERATOME BLADES (NA | KERATOME BLADES)),787,KERATOME BLADES (NA | KERATOME BLADES),9,Non-Drug Consumables,787,,,0,,0,,,,no,TRUE
KETAMINE  (M000574 | KETAMINE ),M000574,KETAMINE  (M000574 | KETAMINE ),4,Pharmacy,572,Injection,50mg/ml in 10ml,50,,0,,,,no,TRUE
Ketoconazole  (200 mg) (KETOCOTA1 | Ketoconazole ),KETOCOTA1,Ketoconazole  (200 mg) (KETOCOTA1 | Ketoconazole ),4,Pharmacy,326,Tablet,200 mg,0,,0,8.5,,1/3/2025,yes,TRUE
Ketoconazole  (KETOCOCR1 | Ketoconazole ) (Cream) (Cream),KETOCOCR1,Ketoconazole  (KETOCOCR1 | Ketoconazole ) (Cream) (Cream),4,Pharmacy,325,Cream,30g,25,,0,22,,1/3/2025,yes,TRUE
KETTLE (NA | NA) (1272 | KETTLE (NA | NA)),1272,KETTLE (NA | NA),12,Electricals,1272,,,0,,0,,,,no,TRUE
KIDNEY DISH (NA | NA) (1278 | KIDNEY DISH (NA | NA)),1278,KIDNEY DISH (NA | NA),9,Non-Drug Consumables,1278,,,0,,0,,,,no,TRUE
KIMOFER TABLETS (M000678 | Liposomal iron),M000678,KIMOFER TABLETS (M000678 | Liposomal iron),4,Pharmacy,1355,Tablet,30mg + 300mcg,2.56,,0,,,,no,TRUE
KY GEL LUBRICANT (NA | NA) (1189 | KY GEL LUBRICANT (NA | NA)),1189,KY GEL LUBRICANT (NA | NA),9,Non-Drug Consumables,1189,,,0,,0,,,,no,TRUE
LAB COAT (NA | NA) (1190 | LAB COAT (NA | NA)),1190,LAB COAT (NA | NA),9,Non-Drug Consumables,1190,,,0,,0,,,,no,TRUE
Labetalol  (100 mg) (LABETATA1 | Labetalol ),LABETATA1,Labetalol  (100 mg) (LABETATA1 | Labetalol ),4,Pharmacy,328,Tablet,100 mg,0,,0,3.12,,1/2/2023,yes,TRUE
Labetalol (200 mg) (LABETATA2 | Labetalol),LABETATA2,Labetalol (200 mg) (LABETATA2 | Labetalol),4,Pharmacy,329,Tablet,200 mg,0,,0,4.4,,1/3/2025,yes,TRUE
Labetalol (LABETAIN1 | Labetalol),LABETAIN1,Labetalol (LABETAIN1 | Labetalol),4,Pharmacy,327,Injection,5 mg/mL in 20 mL,0,,0,93.6,,1/2/2023,yes,TRUE
LABORATORY REGISTER (NA | LABORATORY REGISTER) (895 | LABORATORY REGISTER (NA | LABORATORY REGISTER)),895,LABORATORY REGISTER (NA | LABORATORY REGISTER),10,Stationery,895,,,0,,0,,,,no,TRUE
LABORATORY REQUEST FORM (NA | NA) (1382 | LABORATORY REQUEST FORM (NA | NA)),1382,LABORATORY REQUEST FORM (NA | NA),10,Stationery,1382,,,0,,0,,,,no,TRUE
LABOUR CHART (NA | LABOUR CHART) (897 | LABOUR CHART (NA | LABOUR CHART)),897,LABOUR CHART (NA | LABOUR CHART),10,Stationery,897,,,0,,0,,,,no,TRUE
LABOUR CHART OBSTETRIC (NA | LABOUR CHART OBSTETRIC) (896 | LABOUR CHART OBSTETRIC (NA | LABOUR CHART OBSTETRIC)),896,LABOUR CHART OBSTETRIC (NA | LABOUR CHART OBSTETRIC),10,Stationery,896,,,0,,0,,,,no,TRUE
LABOUR WARD AUDIT TOOL (NA | LABOUR WARD AUDIT TOOL) (898 | LABOUR WARD AUDIT TOOL (NA | LABOUR WARD AUDIT TOOL)),898,LABOUR WARD AUDIT TOOL (NA | LABOUR WARD AUDIT TOOL),10,Stationery,898,,,0,,0,,,,no,TRUE
Lactulose  (LACTULLI1 | Lactulose ),LACTULLI1,Lactulose  (LACTULLI1 | Lactulose ),4,Pharmacy,330,Liquid,3.1-3.7 g/5 mL,0,,0,75.35,,1/3/2025,yes,TRUE
LAMP 105W (NA | LAMP 105W) (1028 | LAMP 105W (NA | LAMP 105W)),1028,LAMP 105W (NA | LAMP 105W),11,Non-Consumables,1028,,,0,,0,,,,no,TRUE
LAMP HOLDER (NA | LAMP HOLDER) (788 | LAMP HOLDER (NA | LAMP HOLDER)),788,LAMP HOLDER (NA | LAMP HOLDER),9,Non-Drug Consumables,788,,,0,,0,,,,no,TRUE
LAMP HOLDER ANGLE (NA | NA) (1132 | LAMP HOLDER ANGLE (NA | NA)),1132,LAMP HOLDER ANGLE (NA | NA),11,Non-Consumables,1132,,,0,,0,,,,no,TRUE
LAPTOP COMPUTERS (NA | NA) (1219 | LAPTOP COMPUTERS (NA | NA)),1219,LAPTOP COMPUTERS (NA | NA),9,Non-Drug Consumables,1219,,,0,,0,,,,no,TRUE
LARYNGEAL AIR MASKS SIZE 1 (NA | LARYNGEAL AIR MASKS SIZE 1) (1030 | LARYNGEAL AIR MASKS SIZE 1 (NA | LARYNGEAL AIR MASKS SIZE 1)),1030,LARYNGEAL AIR MASKS SIZE 1 (NA | LARYNGEAL AIR MASKS SIZE 1),11,Non-Consumables,1030,,,0,,0,,,,no,TRUE
LARYNGEAL AIR MASKS SIZE 2 (NA | LARYNGEAL AIR MASKS SIZE 2) (1031 | LARYNGEAL AIR MASKS SIZE 2 (NA | LARYNGEAL AIR MASKS SIZE 2)),1031,LARYNGEAL AIR MASKS SIZE 2 (NA | LARYNGEAL AIR MASKS SIZE 2),11,Non-Consumables,1031,,,0,,0,,,,no,TRUE
LARYNGEAL AIR MASKS SIZE 3 (NA | LARYNGEAL AIR MASKS SIZE 3) (1032 | LARYNGEAL AIR MASKS SIZE 3 (NA | LARYNGEAL AIR MASKS SIZE 3)),1032,LARYNGEAL AIR MASKS SIZE 3 (NA | LARYNGEAL AIR MASKS SIZE 3),11,Non-Consumables,1032,,,0,,0,,,,no,TRUE
LARYNGEAL AIR MASKS SIZE 4 (NA | LARYNGEAL AIR MASKS SIZE 4) (1033 | LARYNGEAL AIR MASKS SIZE 4 (NA | LARYNGEAL AIR MASKS SIZE 4)),1033,LARYNGEAL AIR MASKS SIZE 4 (NA | LARYNGEAL AIR MASKS SIZE 4),11,Non-Consumables,1033,,,0,,0,,,,no,TRUE
LARYNGOSCOPE  (NA | NA) (1290 | LARYNGOSCOPE  (NA | NA)),1290,LARYNGOSCOPE  (NA | NA),9,Non-Drug Consumables,1290,,,0,,0,,,,no,TRUE
LARYNGOSCOPE SET (NA | LARYNGOSCOPE SET) (789 | LARYNGOSCOPE SET (NA | LARYNGOSCOPE SET)),789,LARYNGOSCOPE SET (NA | LARYNGOSCOPE SET),9,Non-Drug Consumables,789,,,0,,0,,,,no,TRUE
LAUNDRY BOOK WARD (NA | LAUNDRY BOOK WARD) (899 | LAUNDRY BOOK WARD (NA | LAUNDRY BOOK WARD)),899,LAUNDRY BOOK WARD (NA | LAUNDRY BOOK WARD),10,Stationery,899,,,0,,0,,,,no,TRUE
LAUNDRY BUSKET (NA | LAUNDRY BUSKET) (1034 | LAUNDRY BUSKET (NA | LAUNDRY BUSKET)),1034,LAUNDRY BUSKET (NA | LAUNDRY BUSKET),11,Non-Consumables,1034,,,0,,0,,,,no,TRUE
LED BULB (NA | NA) (1293 | LED BULB (NA | NA)),1293,LED BULB (NA | NA),12,Electricals,1293,,,0,,0,,,,no,TRUE
LEDGER BOOK (NA | NA) (1312 | LEDGER BOOK (NA | NA)),1312,LEDGER BOOK (NA | NA),10,Stationery,1312,,,0,,0,,,,no,TRUE
LENSE CLEANER (NA | LENSE CLEANER) (684 | LENSE CLEANER (NA | LENSE CLEANER)),684,LENSE CLEANER (NA | LENSE CLEANER),7,Laboratory Consumables,684,,,0,,0,,,,no,TRUE
LETTER DISPATCH BOOK (NA | LETTER DISPATCH BOOK) (900 | LETTER DISPATCH BOOK (NA | LETTER DISPATCH BOOK)),900,LETTER DISPATCH BOOK (NA | LETTER DISPATCH BOOK),10,Stationery,900,,,0,,0,,,,no,TRUE
LETTER RECEIVE  BOOK (NA | LETTER RECEIVE  BOOK) (901 | LETTER RECEIVE  BOOK (NA | LETTER RECEIVE  BOOK)),901,LETTER RECEIVE  BOOK (NA | LETTER RECEIVE  BOOK),10,Stationery,901,,,0,,0,,,,no,TRUE
Levofloxacin (500mg/100mL) (M000676 | Levofloxacin),M000676,Levofloxacin (500mg/100mL) (M000676 | Levofloxacin),4,Pharmacy,1345,Injection,500mg/100mL,120,,0,,,,no,TRUE
LEVOFLOXACIN (750MG) (M000669 | INFILE 750),M000669,LEVOFLOXACIN (750MG) (M000669 | INFILE 750),4,Pharmacy,1252,Tablet,750MG,2.8,,0,,,,no,TRUE
Levothyroxine Sodium  (25 microgram) (LEVSODTA1 | Levothyroxine Sodium ),LEVSODTA1,Levothyroxine Sodium  (25 microgram) (LEVSODTA1 | Levothyroxine Sodium ),4,Pharmacy,332,Tablet,25 microgram,0,,0,0.92,,1/3/2025,yes,TRUE
Levothyroxine Sodium (50 microgram) (LEVSODTA2 | Levothyroxine Sodium),LEVSODTA2,Levothyroxine Sodium (50 microgram) (LEVSODTA2 | Levothyroxine Sodium),4,Pharmacy,333,Tablet,50 microgram,20,,0,1.1,,1/3/2025,yes,TRUE
Levothyroxine Tablet 100mcg (LEVSODTA3 | Levothyroxine Tablet 100mcg),LEVSODTA3,Levothyroxine Tablet 100mcg,4,Pharmacy,331,Tablet,100 microgram,0.7,,0,1.32,,1/3/2025,yes,TRUE
LEXSPORIN OINTMENT (M000657 | NA),M000657,LEXSPORIN OINTMENT (M000657 | NA),4,Pharmacy,1184,0,,60,,0,,,,no,TRUE
Lidocaine  (0.04) (LIDOCAGE1 | Lidocaine ),LIDOCAGE1,Lidocaine  (0.04) (LIDOCAGE1 | Lidocaine ),4,Pharmacy,335,Gel,0.04,0,,0,76.67,,1/3/2025,yes,TRUE
Lidocaine  (LIDOCACR1 | Lidocaine ),LIDOCACR1,Lidocaine  (LIDOCACR1 | Lidocaine ),4,Pharmacy,334,Cream,0.02,0,,0,38.5,,1/3/2025,yes,TRUE
LIDOCAINE (2% in 20mls) (M000575 | LIDOCAINE),M000575,LIDOCAINE (2% in 20mls) (M000575 | LIDOCAINE),4,Pharmacy,573,Injection,2% in 20mls,19,,0,,,,no,TRUE
LIQUID SOAP (NA | LIQUID SOAP) (601 | LIQUID SOAP (NA | LIQUID SOAP)),601,LIQUID SOAP (NA | LIQUID SOAP),5,Consumables,601,,,12.5,,0,,,,no,TRUE
Lisinopril + Hydrochlorthiazide Tablet (20 Mg + 12.5 Mg) (LISHYDTA2 | Lisinopril + Hydrochlorthiazide Tablet (20 Mg + 12.5 Mg)),LISHYDTA2,Lisinopril + Hydrochlorthiazide Tablet (20 Mg + 12.5 Mg),4,Pharmacy,337,Tablet,20 mg + 12.5 mg,2.5,,0,1.26,,1/3/2025,yes,TRUE
lisinopril tab 10/12.5mg (M000640 | NA) (0),M000640,lisinopril tab 10/12.5mg (M000640 | NA) (0),4,Pharmacy,1167,0,,2,,0,,,,no,TRUE
Lisinopril Tablet 10 Mg (LISINOTA3 | Lisinopril Tablet 10 Mg),LISINOTA3,Lisinopril Tablet 10 Mg,4,Pharmacy,338,Tablet,10 mg,0.25,,0.1,0.21,,1/3/2025,yes,TRUE
Lisinopril Tablet 5 Mg (LISINOTA2 | Lisinopril Tablet 5 Mg),LISINOTA2,Lisinopril Tablet 5 Mg,4,Pharmacy,341,Tablet,5 mg,0.5,,0,0.39,,1/3/2025,yes,TRUE
Lodoxamide Eye  (LODOXAID1 | Lodoxamide Eye ),LODOXAID1,Lodoxamide Eye  (LODOXAID1 | Lodoxamide Eye ),4,Pharmacy,342,Drops,0.001,0,,0,8.9,,1/3/2025,yes,TRUE
Lorazepam  (1 mg) (LORAZETA1 | Lorazepam ),LORAZETA1,Lorazepam  (1 mg) (LORAZETA1 | Lorazepam ),4,Pharmacy,344,Tablet,1 mg,0,,0,1.76,,1/3/2025,yes,TRUE
Lorazepam  (2 mg) (LORAZETA2 | Lorazepam ),LORAZETA2,Lorazepam  (2 mg) (LORAZETA2 | Lorazepam ),4,Pharmacy,345,Tablet,2 mg,0,,0,0.44,,1/3/2025,yes,TRUE
Lorazepam  (2.5 mg) (LORAZETA3 | Lorazepam ),LORAZETA3,Lorazepam  (2.5 mg) (LORAZETA3 | Lorazepam ),4,Pharmacy,346,Tablet,2.5 mg,0,,0,1.56,,1/2/2023,yes,TRUE
Lorazepam Injection 4mg/ml (LORAZEIN1 | Lorazepam Injection 4mg/ml),LORAZEIN1,Lorazepam Injection 4mg/ml,4,Pharmacy,343,Injection,4 mg/mL in 1mL,10,,0,8.4,,1/2/2023,yes,TRUE
Losartan Tablet 50mg (LOSARTTA2 | Losartan Tablet 50mg),LOSARTTA2,Losartan Tablet 50mg,4,Pharmacy,349,Tablet,50 mg,0.3,,0,0.26,,1/3/2025,yes,TRUE
LYSERCELL WDF 2L (NA | LYSERCELL WDF 2L) (1035 | LYSERCELL WDF 2L (NA | LYSERCELL WDF 2L)),1035,LYSERCELL WDF 2L (NA | LYSERCELL WDF 2L),11,Non-Consumables,1035,,,0,,0,,,,no,TRUE
MAGIL\'S FORCEPS (NA | NA) (1036 | MAGIL\'S FORCEPS (NA | NA)),1036,MAGIL\'S FORCEPS (NA | NA),11,Non-Consumables,1036,,,0,,0,,,,no,TRUE
Magnesium Sulphate Injection 20% (MAGSULIN1 | Magnesium Sulphate Injection 20%),MAGSULIN1,Magnesium Sulphate Injection 20%,4,Pharmacy,350,Injection,20% 10 mL,12,,0,5.96,,1/3/2025,yes,TRUE
Magnesium Sulphate Injection 50% (MAGSULIN3 | Magnesium Sulphate Injection 50%),MAGSULIN3,Magnesium Sulphate Injection 50%,4,Pharmacy,351,Injection,50% 10 mL,25,,5,19.54,,1/3/2025,yes,TRUE
Magnesium Sulphate Salt (MAGSULPO1 | Magnesium Sulphate Salt),MAGSULPO1,Magnesium Sulphate Salt (MAGSULPO1 | Magnesium Sulphate Salt),4,Pharmacy,352,Salt,,0,,0,33,,1/3/2025,yes,TRUE
Magnesium Trisilicate + Aluminium Hydroxide Mixture (MATRALMI1 | Magnesium Trisilicate + Aluminium Hydroxide Mixture),MATRALMI1,Magnesium Trisilicate + Aluminium Hydroxide Mixture (MATRALMI1 | Magnesium Trisilicate + Aluminium Hydroxide Mixture),4,Pharmacy,353,Mixture,,25,,0,22.22,,1/3/2025,yes,TRUE
MAKINTOSH (NA | MAKINTOSH) (790 | MAKINTOSH (NA | MAKINTOSH)),790,MAKINTOSH (NA | MAKINTOSH),9,Non-Drug Consumables,790,,,0,,0,,,,no,TRUE
MALARIA RDT (NA | NA) (685 | MALARIA RDT (NA | NA)),685,MALARIA RDT (NA | NA),7,Laboratory Consumables,685,,,0,,0,,,,no,TRUE
MANICEPS (M000593 | MANICEPS),M000593,MANICEPS (M000593 | MANICEPS),4,Pharmacy,593,Syrup,250mg,0,,0,,,,no,TRUE
Mannitol  (MANNITIN2 | Mannitol ),MANNITIN2,Mannitol  (MANNITIN2 | Mannitol ),4,Pharmacy,358,Injection,0.2,35,,0,30.42,,1/3/2025,yes,TRUE
Mannitol (MANNITIN1 | Mannitol),MANNITIN1,Mannitol (MANNITIN1 | Mannitol),4,Pharmacy,357,Injection,0.1,40,,10,36.04,,1/3/2025,yes,TRUE
MANUAL HAND EDGER (NA | MANUAL HAND EDGER) (791 | MANUAL HAND EDGER (NA | MANUAL HAND EDGER)),791,MANUAL HAND EDGER (NA | MANUAL HAND EDGER),9,Non-Drug Consumables,791,,,0,,0,,,,no,TRUE
MANUAL LENS METER ( NJC-6A ) (NA | MANUAL LENS METER ( NJC-6A )) (792 | MANUAL LENS METER ( NJC-6A ) (NA | MANUAL LENS METER ( NJC-6A ))),792,MANUAL LENS METER ( NJC-6A ) (NA | MANUAL LENS METER ( NJC-6A )),9,Non-Drug Consumables,792,,,0,,0,,,,no,TRUE
MATERNAL & CHILD HEALTH RECORD BOOK (NA | MATERNAL HEALTH RECORD BOOK) (902 | MATERNAL & CHILD HEALTH RECORD BOOK (NA | MATERNAL HEALTH RECORD BOOK)),902,MATERNAL & CHILD HEALTH RECORD BOOK (NA | MATERNAL HEALTH RECORD BOOK),10,Stationery,902,,,0,,0,,,,no,TRUE
MATERNITY GLOVES (NA | MATERNITY GLOVES) (793 | MATERNITY GLOVES (NA | MATERNITY GLOVES)),793,MATERNITY GLOVES (NA | MATERNITY GLOVES),9,Non-Drug Consumables,793,,,0,,0,,,,no,TRUE
MATTRESS (NA | MATTRESS) (1037 | MATTRESS (NA | MATTRESS)),1037,MATTRESS (NA | MATTRESS),11,Non-Consumables,1037,,,0,,0,,,,no,TRUE
Mebendazole  (100 mg) (MEBENDTA1 | Mebendazole ),MEBENDTA1,Mebendazole  (100 mg) (MEBENDTA1 | Mebendazole ),4,Pharmacy,360,Tablet,100 mg,0,,0,14.3,,1/3/2025,yes,TRUE
Mebendazole  (MEBENDSU1 | Mebendazole ),MEBENDSU1,Mebendazole  (MEBENDSU1 | Mebendazole ),4,Pharmacy,359,Suspension,100 mg/5 mL,17,,0,44,,1/3/2025,yes,TRUE
Mebendazole Tablet 500mg (MEBENDTA2 | Mebendazole Tablet 500mg),MEBENDTA2,Mebendazole Tablet 500mg,4,Pharmacy,361,Tablet,500 mg,25,,0,23.1,,1/3/2025,yes,TRUE
Mebeverine Tab 135mg (MEBEVETA1 | Mebeverine Tab 135mg),MEBEVETA1,Mebeverine Tab 135mg,4,Pharmacy,362,Tablet,135 mg,8,,0,1.5,,1/3/2025,yes,TRUE
MEDICAL CERTIFICATE OF CAUSE OF DEATH (NA | MEDICAL CERTIFICATE OF CAUSE OF DEATH) (903 | MEDICAL CERTIFICATE OF CAUSE OF DEATH (NA | MEDICAL CERTIFICATE OF CAUSE OF DEATH)),903,MEDICAL CERTIFICATE OF CAUSE OF DEATH (NA | MEDICAL CERTIFICATE OF CAUSE OF DEATH),10,Stationery,903,,,0,,0,,,,no,TRUE
Medroxyprogesterone Acetate (MEDACETA1 | Medroxyprogesterone Acetate),MEDACETA1,Medroxyprogesterone Acetate (MEDACETA1 | Medroxyprogesterone Acetate),4,Pharmacy,363,Tablet,5 mg,0,,0,3.24,,1/2/2023,yes,TRUE
Mefenamic Acid  (500 mg) (MEFACITA1 | Mefenamic Acid ),MEFACITA1,Mefenamic Acid  (500 mg) (MEFACITA1 | Mefenamic Acid ),4,Pharmacy,365,Tablet,500 mg,0,,0,1.29,,1/3/2025,yes,TRUE
Mefenamic Acid  (MEFACICA1 | Mefenamic Acid ),MEFACICA1,Mefenamic Acid  (MEFACICA1 | Mefenamic Acid ),4,Pharmacy,364,Tablet,250 mg,0,,0,2.7,,1/3/2025,yes,TRUE
MENTAT () (M000666 | Mentat),M000666,MENTAT () (M000666 | Mentat),4,Pharmacy,1248,Syrup,,0,,0,,,,no,TRUE
MENTAT (M000665 | Mentat),M000665,MENTAT (M000665 | Mentat),4,Pharmacy,1247,Tablet,,0,,0,,,,no,TRUE
Metformin Tablet 500mg (METFORTA1 | Metformin Tablet 500mg),METFORTA1,Metformin Tablet 500mg,4,Pharmacy,366,Tablet,500 mg,0.2,,0.02,0.15,,1/3/2025,yes,TRUE
METHANOL (NA | METHANOL) (686 | METHANOL (NA | METHANOL)),686,METHANOL (NA | METHANOL),7,Laboratory Consumables,686,,,0,,0,,,,no,TRUE
Methotrexate  (10 mg) (METHOTTA2 | Methotrexate ),METHOTTA2,Methotrexate  (10 mg) (METHOTTA2 | Methotrexate ),4,Pharmacy,369,Tablet,10 mg,0,,0,1.4,,1/2/2023,yes,TRUE
Methotrexate  (2.5 mg) (METHOTTA1 | Methotrexate ),METHOTTA1,Methotrexate  (2.5 mg) (METHOTTA1 | Methotrexate ),4,Pharmacy,370,Tablet,2.5 mg,0,,0,1.98,,1/2/2023,yes,TRUE
Methotrexate  (METHOTIN1 | Methotrexate ),METHOTIN1,Methotrexate  (METHOTIN1 | Methotrexate ),4,Pharmacy,367,Injection,2.5 mg/ mL,0,,0,26.4,,1/2/2023,yes,TRUE
Methotrexate Injection 25mg/2ml (METHOTIN2 | Methotrexate Injection 25mg/2ml),METHOTIN2,Methotrexate Injection 25mg/2ml,4,Pharmacy,368,Injection,25 mg/ mL in 2mL,20,,0,67.24,,1/2/2023,yes,TRUE
"Methyl Cellulose Eye Drops,  (METCELID1 | Methyl Cellulose Eye Drops, )",METCELID1,"Methyl Cellulose Eye Drops,  (METCELID1 | Methyl Cellulose Eye Drops, )",4,Pharmacy,371,Drops,0.003,25,,0,22.55,,1/3/2025,yes,TRUE
METHYLATED SPIRIT (M000677 | METHYLATED SPIRIT),M000677,METHYLATED SPIRIT (M000677 | METHYLATED SPIRIT),4,Pharmacy,1354,Solution,60 ML,6,,0,,,,no,TRUE
Methyldopa Tablet 250mg (METHYLTA1 | Methyldopa Tablet 250mg),METHYLTA1,Methyldopa Tablet 250mg,4,Pharmacy,372,Tablet,250 mg,1.26,,0.5,0.93,,1/3/2025,yes,TRUE
Metoclopramide  (5 mg/5 mL) (METOCLSY1 | Metoclopramide ),METOCLSY1,Metoclopramide  (5 mg/5 mL) (METOCLSY1 | Metoclopramide ),4,Pharmacy,374,Syrup,5 mg/5 mL,0,,0,92.4,,1/3/2025,yes,TRUE
Metoclopramide  (METOCLIN1 | Metoclopramide ),METOCLIN1,Metoclopramide  (METOCLIN1 | Metoclopramide ),4,Pharmacy,373,Injection,5 mg/mL in 2 mL,10,,0,8.8,,1/3/2025,yes,TRUE
Metoclopramide Tablet 10 Mg (METOCLTA1 | Metoclopramide Tablet 10 Mg),METOCLTA1,Metoclopramide Tablet 10 Mg,4,Pharmacy,375,Tablet,10 mg,0.8,,0,0.77,,1/3/2025,yes,TRUE
metoclopriamide 10mg tablet (M000638 | NA),M000638,metoclopriamide 10mg tablet (M000638 | NA),4,Pharmacy,1165,0,,0,,0,,,,no,TRUE
Metolazone  (METOLATA1 | Metolazone ),METOLATA1,Metolazone  (METOLATA1 | Metolazone ),4,Pharmacy,376,Tablet,5 mg,0,,0,4.68,,1/2/2023,yes,TRUE
Metoprolol Tartrate  (METTARTA1 | Metoprolol Tartrate ),METTARTA1,Metoprolol Tartrate  (METTARTA1 | Metoprolol Tartrate ),4,Pharmacy,377,Tablet,100 mg,0,,0,1.85,,1/3/2025,yes,TRUE
Metronidazole  (METRONIN1 | Metronidazole ),METRONIN1,Metronidazole  (METRONIN1 | Metronidazole ),4,Pharmacy,378,Injection,5 mg/mL in 100 mL,10,,0,9.01,,1/3/2025,yes,TRUE
Metronidazole Suspension 200mg/5ml (METRONSU2 | Metronidazole Suspension 200mg/5ml),METRONSU2,Metronidazole Suspension 200mg/5ml,4,Pharmacy,381,Suspension,200 mg/5 mL,13,,0,12.02,,1/3/2025,yes,TRUE
Metronidazole Tablet 200mg (METRONTA1 | Metronidazole Tablet 200mg),METRONTA1,Metronidazole Tablet 200mg,4,Pharmacy,382,Tablet,200 mg,0.2,,0,0.13,,1/3/2025,yes,TRUE
Metronidazole Tablet 400mg (METRONTA2 | Metronidazole Tablet 400mg),METRONTA2,Metronidazole Tablet 400mg,4,Pharmacy,383,Tablet,400 mg,0.3,,0,0.25,,1/3/2025,yes,TRUE
Miconazole  (25 mg/mL) (MICONAOG1 | Miconazole ),MICONAOG1,Miconazole  (25 mg/mL) (MICONAOG1 | Miconazole ),4,Pharmacy,386,Gel,25 mg/mL,40,,0,73.7,,1/3/2025,yes,TRUE
Miconazole + Hydrocortisone  (MICHYDCR1 | Miconazole + Hydrocortisone ),MICHYDCR1,Miconazole + Hydrocortisone  (MICHYDCR1 | Miconazole + Hydrocortisone ),4,Pharmacy,384,Cream,2% + 1%,0,,0,51.87,,1/3/2025,yes,TRUE
