Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
FEEDING TUBE SIZE 16 (NA | NA) (1097 | FEEDING TUBE SIZE 16 (NA | NA)),1097,FEEDING TUBE SIZE 16 (NA | NA),11,Non-Consumables,1097,,,0,,0,,,,no,TRUE
FEEDING TUBE SIZE 16 (NA | NA) (1122 | FEEDING TUBE SIZE 16 (NA | NA)),1122,FEEDING TUBE SIZE 16 (NA | NA),5,Consumables,1122,,,0,,0,,,,no,TRUE
fentanyl (M000670 | fentanyl),M000670,fentanyl (M000670 | fentanyl),4,Pharmacy,1258,Injection,100mcg/2ml,45,,0,,,,no,TRUE
Ferric Ammonium Citrate Mixture (244 | Ferric Ammonium Citrate Mixture),244,Ferric Ammonium Citrate Mixture,4,Pharmacy,244,Mixture,,100,,0,7.48,,1/3/2025,yes,TRUE
FERROUS ASCORBATE  (M000569 | FERROUS ASCORBATE ),M000569,FERROUS ASCORBATE  (M000569 | FERROUS ASCORBATE ),4,Pharmacy,567,Syrup,150ML,50,,0,,,,no,TRUE
FERROUS ASCORBATE (50MG) (M000570 | FERROUS ASCORBATE),M000570,FERROUS ASCORBATE (50MG) (M000570 | FERROUS ASCORBATE),4,Pharmacy,568,Tablet,50MG,2.5,,0,,,,no,TRUE
Ferrous Fumarate Tablet 100mg (FERFUMTA1 | Ferrous Fumarate Tablet 100mg),FERFUMTA1,Ferrous Fumarate Tablet 100mg,4,Pharmacy,245,Tablet,100 mg,0.2,,0,0.22,,1/3/2025,yes,TRUE
Ferrous Sulphate + Folic Acid  (FESUFOTA1 | Ferrous Sulphate + Folic Acid ),FESUFOTA1,Ferrous Sulphate + Folic Acid  (FESUFOTA1 | Ferrous Sulphate + Folic Acid ),4,Pharmacy,247,Tablet,50 mg + 400 microgram,0.8,,0,0.67,,1/3/2025,yes,TRUE
FETAL DOPPLER (NA | FETAL DOPPLER) (1012 | FETAL DOPPLER (NA | FETAL DOPPLER)),1012,FETAL DOPPLER (NA | FETAL DOPPLER),11,Non-Consumables,1012,,,0,,0,,,,no,TRUE
Fexofenadine 120mg (M000607 | ZYFEN),M000607,Fexofenadine 120mg (M000607 | ZYFEN),4,Pharmacy,1125,Tablet,,2.5,,0,,,,no,TRUE
FIETOSCOPE (NA | NA) (1377 | FIETOSCOPE (NA | NA)),1377,FIETOSCOPE (NA | NA),9,Non-Drug Consumables,1377,,,0,,0,,,,no,TRUE
FILTER CATRIDGE (NA | NA) (1380 | FILTER CATRIDGE (NA | NA)),1380,FILTER CATRIDGE (NA | NA),7,Laboratory Consumables,1380,,,0,,0,,,,no,TRUE
FILTER PAPER (NA | FILTER PAPER) (674 | FILTER PAPER (NA | FILTER PAPER)),674,FILTER PAPER (NA | FILTER PAPER),7,Laboratory Consumables,674,,,0,,0,,,,no,TRUE
Finasteride  (FINASTTA1 | Finasteride ),FINASTTA1,Finasteride  (FINASTTA1 | Finasteride ),4,Pharmacy,249,Tablet,5 mg,0,,0,1.4,,1/2/2023,yes,TRUE
FINGER PULSE OXIMETER (NA | NA) (1230 | FINGER PULSE OXIMETER (NA | NA)),1230,FINGER PULSE OXIMETER (NA | NA),9,Non-Drug Consumables,1230,,,0,,0,,,,no,TRUE
FIRST RESPONSE HEPATITIS B (NA | FIRST RESPONSE HEPATITIS B) (676 | FIRST RESPONSE HEPATITIS B (NA | FIRST RESPONSE HEPATITIS B)),676,FIRST RESPONSE HEPATITIS B (NA | FIRST RESPONSE HEPATITIS B),7,Laboratory Consumables,676,,,0,,0,,,,no,TRUE
FIRST RESPONSE HIV (NA | FIRST RESPONSE HIV) (761 | FIRST RESPONSE HIV (NA | FIRST RESPONSE HIV)),761,FIRST RESPONSE HIV (NA | FIRST RESPONSE HIV),9,Non-Drug Consumables,761,,,0,,0,,,,no,TRUE
FIRST RESPONSE HIV COMBO (NA | FIRST RESPONSE HIV COMBO) (677 | FIRST RESPONSE HIV COMBO (NA | FIRST RESPONSE HIV COMBO)),677,FIRST RESPONSE HIV COMBO (NA | FIRST RESPONSE HIV COMBO),7,Laboratory Consumables,677,,,0,,0,,,,no,TRUE
FLAT FILES (NA | FLAT FILES) (888 | FLAT FILES (NA | FLAT FILES)),888,FLAT FILES (NA | FLAT FILES),10,Stationery,888,,,0,,0,,,,no,TRUE
FLAVOUR (NA | FLAVOUR) (1013 | FLAVOUR (NA | FLAVOUR)),1013,FLAVOUR (NA | FLAVOUR),11,Non-Consumables,1013,,,0,,0,,,,no,TRUE
FLEXIBLE WIRE (NA | FLEXIBLE WIRE) (1014 | FLEXIBLE WIRE (NA | FLEXIBLE WIRE)),1014,FLEXIBLE WIRE (NA | FLEXIBLE WIRE),11,Non-Consumables,1014,,,0,,0,,,,no,TRUE
FLOURECENT TUBE 2FT (NA | FLOURECENT TUBE 2FT) (1015 | FLOURECENT TUBE 2FT (NA | FLOURECENT TUBE 2FT)),1015,FLOURECENT TUBE 2FT (NA | FLOURECENT TUBE 2FT),11,Non-Consumables,1015,,,0,,0,,,,no,TRUE
FLOURESCENT TUBE 4FT (NA | FLOURESCENT TUBE 4FT) (1016 | FLOURESCENT TUBE 4FT (NA | FLOURESCENT TUBE 4FT)),1016,FLOURESCENT TUBE 4FT (NA | FLOURESCENT TUBE 4FT),11,Non-Consumables,1016,,,0,,0,,,,no,TRUE
FLOURESENT COMPLETE (NA | FLOURESENT COMPLETE) (1017 | FLOURESENT COMPLETE (NA | FLOURESENT COMPLETE)),1017,FLOURESENT COMPLETE (NA | FLOURESENT COMPLETE),11,Non-Consumables,1017,,,0,,0,,,,no,TRUE
FLOW SPLITTER (NA | NA) (1326 | FLOW SPLITTER (NA | NA)),1326,FLOW SPLITTER (NA | NA),11,Non-Consumables,1326,,,0,,0,,,,no,TRUE
Flucloxacillin Capsule 250mg (FLUCLOCA1 | Flucloxacillin Capsule 250mg),FLUCLOCA1,Flucloxacillin Capsule 250mg,4,Pharmacy,250,Capsule,250 mg,0.9,,0.1,0.82,,1/3/2025,yes,TRUE
Flucloxacillin Injection 250mg (FLUCLOIN1 | Flucloxacillin Injection 250mg),FLUCLOIN1,Flucloxacillin Injection 250mg,4,Pharmacy,251,Injection,250 mg,15,,0,10.18,,1/3/2025,yes,TRUE
Flucloxacillin Injection 500mg (FLUCLOIN2 | Flucloxacillin Injection 500mg),FLUCLOIN2,Flucloxacillin Injection 500mg,4,Pharmacy,252,Injection,500 mg,20,,0,19.8,,1/3/2025,yes,TRUE
Flucloxacillin Susp 125mg/ 5ml (FLUCLOSU1 | Flucloxacillin Susp 125mg/ 5ml),FLUCLOSU1,Flucloxacillin Susp 125mg/ 5ml,4,Pharmacy,253,Suspension,125 mg/5 mL,20,,5,15.95,,1/3/2025,yes,TRUE
Fluconazole  (10 mg/mL) (FLUCONSU1 | Fluconazole ),FLUCONSU1,Fluconazole  (10 mg/mL) (FLUCONSU1 | Fluconazole ),4,Pharmacy,256,Suspension,10 mg/mL,0,,0,32.45,,1/3/2025,yes,TRUE
Fluconazole Capsule 150mg (FLUCONCA1 | Fluconazole Capsule 150mg),FLUCONCA1,Fluconazole Capsule 150mg,4,Pharmacy,254,Capsule,150 mg,12,,0,10.67,,1/3/2025,yes,TRUE
Fluconazole Suspension 50mg/5ml (FLUCONSU2 | Fluconazole Suspension 50mg/5ml),FLUCONSU2,Fluconazole Suspension 50mg/5ml,4,Pharmacy,257,Suspension,50 mg/5 mL,10,,0,50,,1/3/2025,yes,TRUE
Fludrocortisone  (FLUDROTA1 | Fludrocortisone ),FLUDROTA1,Fludrocortisone  (FLUDROTA1 | Fludrocortisone ),4,Pharmacy,259,Tablet,100 microgram,0,,0,6.96,,1/2/2023,yes,TRUE
FLUID CHART (NA | FLUID CHART) (889 | FLUID CHART (NA | FLUID CHART)),889,FLUID CHART (NA | FLUID CHART),10,Stationery,889,,,0,,0,,,,no,TRUE
FLUOROCELL WDF 2 X 22ML (NA | FLUOROCELL WDF 2 X 22ML) (1018 | FLUOROCELL WDF 2 X 22ML (NA | FLUOROCELL WDF 2 X 22ML)),1018,FLUOROCELL WDF 2 X 22ML (NA | FLUOROCELL WDF 2 X 22ML),11,Non-Consumables,1018,,,0,,0,,,,no,TRUE
Fluoxetine  (FLUOXECA1 | Fluoxetine ),FLUOXECA1,Fluoxetine  (FLUOXECA1 | Fluoxetine ),4,Pharmacy,260,Capsule,20 mg,0,,0,1.43,,1/3/2025,yes,TRUE
Flupentixol  (FLUPENTA2 | Flupentixol ),FLUPENTA2,Flupentixol  (FLUPENTA2 | Flupentixol ),4,Pharmacy,261,Tablet,1mg,0,,0,1.65,,1/3/2025,yes,TRUE
Flupentixol Tablet 500mcg (FLUPENTA1 | Flupentixol Tablet 500mcg),FLUPENTA1,Flupentixol Tablet 500mcg,4,Pharmacy,262,Tablet,500 microgram,8,,0,1.53,,1/3/2025,yes,TRUE
Fluphenazine Deconoate (FLUDECIN1 | Fluphenazine Deconoate),FLUDECIN1,Fluphenazine Deconoate (FLUDECIN1 | Fluphenazine Deconoate),4,Pharmacy,263,Injection,25 mg/mL,0,,0,15.6,,1/2/2023,yes,TRUE
Fluticasone + Salmeterol  (FLUSALGA1 | Fluticasone + Salmeterol ),FLUSALGA1,Fluticasone + Salmeterol  (FLUSALGA1 | Fluticasone + Salmeterol ),4,Pharmacy,264,Inhaler,250 microgram/50 microgram (60 Doses),220,,80,275,,1/3/2025,yes,TRUE
Fluticasone Inhaler 250mcg (FLUTICGA3 | Fluticasone Inhaler 250mcg),FLUTICGA3,Fluticasone Inhaler 250mcg,4,Pharmacy,266,Inhaler,250 microgram (120 Dose),0,,0,128.7,,1/3/2025,yes,TRUE
Fluticasone MDI (FLUTICGA2 | Fluticasone MDI),FLUTICGA2,Fluticasone MDI (FLUTICGA2 | Fluticasone MDI),4,Pharmacy,265,Inhaler,125 microgram (120 Dose),0,,0,191.73,,1/3/2025,yes,TRUE
Fluvastatin  (FLUVASCA1 | Fluvastatin ),FLUVASCA1,Fluvastatin  (FLUVASCA1 | Fluvastatin ),4,Pharmacy,267,Capsule,20 mg,0,,0,2.77,,1/2/2023,yes,TRUE
FOLEYS CATHETAR 16G (NA | NA) (1299 | FOLEYS CATHETAR 16G (NA | NA)),1299,FOLEYS CATHETAR 16G (NA | NA),9,Non-Drug Consumables,1299,,,0,,0,,,,no,TRUE
FOLEYS CATHETER 10 (NA | NA) (1202 | FOLEYS CATHETER 10 (NA | NA)),1202,FOLEYS CATHETER 10 (NA | NA),9,Non-Drug Consumables,1202,,,0,,0,,,,no,TRUE
FOLEYS CATHETER 12 (NA | NA) (1204 | FOLEYS CATHETER 12 (NA | NA)),1204,FOLEYS CATHETER 12 (NA | NA),9,Non-Drug Consumables,1204,,,0,,0,,,,no,TRUE
FOLEYS CATHETER 14 (NA | NA) (1203 | FOLEYS CATHETER 14 (NA | NA)),1203,FOLEYS CATHETER 14 (NA | NA),9,Non-Drug Consumables,1203,,,0,,0,,,,no,TRUE
FOLEYS CATHETER 18 (NA | NA) (1378 | FOLEYS CATHETER 18 (NA | NA)),1378,FOLEYS CATHETER 18 (NA | NA),9,Non-Drug Consumables,1378,,,0,,0,,,,no,TRUE
FOLEYS CATHETER 20 (NA | NA) (1201 | FOLEYS CATHETER 20 (NA | NA)),1201,FOLEYS CATHETER 20 (NA | NA),9,Non-Drug Consumables,1201,,,0,,0,,,,no,TRUE
FOLEYS CATHETER 8 (NA | NA) (1205 | FOLEYS CATHETER 8 (NA | NA)),1205,FOLEYS CATHETER 8 (NA | NA),9,Non-Drug Consumables,1205,,,0,,0,,,,no,TRUE
Folic Acid Tablet 5mg (FOLACITA1 | Folic Acid Tablet 5mg),FOLACITA1,Folic Acid Tablet 5mg,4,Pharmacy,268,Tablet,5 mg,0.1,,0,0.05,,1/3/2025,yes,TRUE
FOLLEY CATHETER 16 (NA | FOLLEY CATHETER 16) (620 | FOLLEY CATHETER 16 (NA | FOLLEY CATHETER 16)),620,FOLLEY CATHETER 16 (NA | FOLLEY CATHETER 16),5,Consumables,620,,,8,,0,,,,no,TRUE
FOLLEY CATHETER 18 (NA | FOLLEY CATHETER 18) (621 | FOLLEY CATHETER 18 (NA | FOLLEY CATHETER 18)),621,FOLLEY CATHETER 18 (NA | FOLLEY CATHETER 18),5,Consumables,621,,,8,,0,,,,no,TRUE
FOOLSCAP NOTEBOOK (NA | NA) (1283 | FOOLSCAP NOTEBOOK (NA | NA)),1283,FOOLSCAP NOTEBOOK (NA | NA),10,Stationery,1283,,,0,,0,,,,no,TRUE
FOOLSCAP NOTEBOOK XL (NA | NA) (1187 | FOOLSCAP NOTEBOOK XL (NA | NA)),1187,FOOLSCAP NOTEBOOK XL (NA | NA),10,Stationery,1187,,,0,,0,,,,no,TRUE
FORMALINE 30L (NA | NA) (1238 | FORMALINE 30L (NA | NA)),1238,FORMALINE 30L (NA | NA),9,Non-Drug Consumables,1238,,,0,,0,,,,no,TRUE
FRONT INDEX SHEET (NA | FRONT INDEX SHEET) (890 | FRONT INDEX SHEET (NA | FRONT INDEX SHEET)),890,FRONT INDEX SHEET (NA | FRONT INDEX SHEET),10,Stationery,890,,,0,,0,,,,no,TRUE
frusemid inj 40mg (M000637 | NA),M000637,frusemid inj 40mg (M000637 | NA),4,Pharmacy,1164,0,,0,,0,,,,no,TRUE
